label,url
0,https://vercel.com/docs/accounts
0,https://vercel.com/docs/activity-log
0,https://vercel.com/docs/agent/overview
0,https://vercel.com/docs/agent/usage
0,https://vercel.com/docs/agents
0,https://vercel.com/docs/ai
0,https://vercel.com/docs/ai-gateway
0,https://vercel.com/docs/ai-gateway/app-attribution
0,https://vercel.com/docs/ai-gateway/authentication
0,https://vercel.com/docs/ai-gateway/byok
0,https://vercel.com/docs/ai-gateway/framework-integrations
0,https://vercel.com/docs/ai-gateway/framework-integrations/langchain
0,https://vercel.com/docs/ai-gateway/framework-integrations/langfuse
0,https://vercel.com/docs/ai-gateway/framework-integrations/litellm
0,https://vercel.com/docs/ai-gateway/framework-integrations/llamaindex
0,https://vercel.com/docs/ai-gateway/framework-integrations/mastra
0,https://vercel.com/docs/ai-gateway/framework-integrations/pydantic-ai
0,https://vercel.com/docs/ai-gateway/getting-started
0,https://vercel.com/docs/ai-gateway/image-generation
0,https://vercel.com/docs/ai-gateway/model-variants
0,https://vercel.com/docs/ai-gateway/models-and-providers
0,https://vercel.com/docs/ai-gateway/observability
0,https://vercel.com/docs/ai-gateway/openai-compat
0,https://vercel.com/docs/ai-gateway/pricing
0,https://vercel.com/docs/ai-gateway/provider-options
0,https://vercel.com/docs/ai-sdk
0,https://vercel.com/docs/ai/adding-a-model
0,https://vercel.com/docs/ai/adding-a-provider
0,https://vercel.com/docs/ai/deepinfra
0,https://vercel.com/docs/ai/elevenlabs
0,https://vercel.com/docs/ai/fal
0,https://vercel.com/docs/ai/groq
0,https://vercel.com/docs/ai/lmnt
0,https://vercel.com/docs/ai/openai
0,https://vercel.com/docs/ai/perplexity
0,https://vercel.com/docs/ai/pinecone
0,https://vercel.com/docs/ai/replicate
0,https://vercel.com/docs/ai/togetherai
0,https://vercel.com/docs/ai/xai
0,https://vercel.com/docs/alerts
0,https://vercel.com/docs/analytics
0,https://vercel.com/docs/analytics/custom-events
0,https://vercel.com/docs/analytics/filtering
0,https://vercel.com/docs/analytics/limits-and-pricing
0,https://vercel.com/docs/analytics/package
0,https://vercel.com/docs/analytics/privacy-policy
0,https://vercel.com/docs/analytics/quickstart
0,https://vercel.com/docs/analytics/redacting-sensitive-data
0,https://vercel.com/docs/analytics/troubleshooting
0,https://vercel.com/docs/analytics/using-web-analytics
0,https://vercel.com/docs/audit-log
0,https://vercel.com/docs/bot-management
0,https://vercel.com/docs/botid
0,https://vercel.com/docs/botid/advanced-configuration
0,https://vercel.com/docs/botid/form-submissions
0,https://vercel.com/docs/botid/get-started
0,https://vercel.com/docs/botid/local-development-behavior
0,https://vercel.com/docs/botid/verified-bots
0,https://vercel.com/docs/build-output-api
0,https://vercel.com/docs/build-output-api/configuration
0,https://vercel.com/docs/build-output-api/features
0,https://vercel.com/docs/build-output-api/primitives
1,https://vercel.com/docs/builds
1,https://vercel.com/docs/builds/build-features
1,https://vercel.com/docs/builds/build-image
1,https://vercel.com/docs/builds/build-queues
1,https://vercel.com/docs/builds/configure-a-build
1,https://vercel.com/docs/builds/managing-builds
0,https://vercel.com/docs/cdn
0,https://vercel.com/docs/checks
0,https://vercel.com/docs/checks/checks-api
0,https://vercel.com/docs/checks/creating-checks
0,https://vercel.com/docs/cli
0,https://vercel.com/docs/cli/about-telemetry
0,https://vercel.com/docs/cli/alias
0,https://vercel.com/docs/cli/bisect
0,https://vercel.com/docs/cli/blob
